"User Institution ID","User Institution Name","latitude","longitude","active_person_count","total_ace","running_job_count"
"144","U Miami - University of Miami","25.7173947000","-80.2781262000","16","2298967.122091209","3"
"145","U South Florida - University of South Florida","28.0618100000","-82.4138550000","3","187620.313182356","1"
"147","Clark Atlanta U - Clark Atlanta University","33.7540100000","-84.4097600000","3","382818.516438954","24"
"148","Columbus State U - Columbus State University","32.5022790000","-84.9415790000","1","11401.584627862","1"
"150","Emory U - Emory University","33.7911110000","-84.3233330000","6","15181.982656435","778"
"152","Georgia State U - Georgia State University","33.7537270000","-84.3847000000","9","239154.158088464","1"
"154","Morehouse College - Morehouse College","33.7482450000","-84.4162030000","2","28.323663360","1"
"157","U Georgia - University of Georgia","33.9567460000","-83.3748190000","2","40912.720693742","1"
"159","U Hawaii, Manoa - University of Hawaii, Manoa","21.2963600000","-157.8212160000","8","1372296.836982968","1"
"160","Boise State U - Boise State University","43.6036780000","-116.2036830000","1","0","1"
"167","Eastern Illinois U - Eastern Illinois University","39.4836410000","-88.1752210000","1","2.745024642","50"
"170","IIT - Illinois Institute of Technology","41.8344300000","-87.6287070000","18","2491373.635286044","2"
"171","Illinois State U - Illinois State University","37.9363900000","-88.6094400000","28","10711.086156341","1"
"173","Lake Forest College - Lake Forest College","42.2499080000","-87.8289160000","1","8.359847775","1"
"174","Loyola U Chicago - Loyola University Chicago","41.8971690000","-87.6237740000","9","561222.783704535","1"
"177","Northern Illinois U - Northern Illinois University","41.9332790000","-88.7652790000","1","8791.690061763","2"
"178","Northwestern U - Northwestern University","42.0565190000","-87.6752220000","28","9194518.061014411","1"
"180","SIU Carbondale - Southern Illinois University, Carbondale","37.7101910000","-89.2172650000","1","1631.792376317","6"
"183","U Chicago - University of Chicago","41.7900510000","-87.5988910000","40","13244232.578451556","1"
"184","UIUC - University of Illinois at Urbana-Champaign","40.1075210000","-88.2271690000","843","84727637.531973298","1"
"185","U Illinois, Chicago - University of Illinois at Chicago","41.8718320000","-87.6482740000","31","3495817.830182793","1"
"186","Western Illinois U - Western Illinois University","40.4654290000","-90.6861050000","2","13577.890074240","1"
"188","Ball State U - Ball State University","40.1982660000","-85.4089890000","5","554.619751700","1"
"192","IUPUI - Indiana University-Purdue University Indianapolis","39.7732569000","-86.1764475000","28","4391.290785451","4"
"194","U Notre Dame - University of Notre Dame","41.6968370000","-86.2375120000","16","161621.311373136","2"
"195","Wabash College - Wabash College","38.4291070000","-87.7814360000","2","32.940295714","1"
"198","Iowa State U - Iowa State University","42.0231620000","-93.6464300000","32","5268891.509139684","1"
"201","U Northern Iowa - University of Northern Iowa","42.5144400000","-92.4599130000","1","93074.302826127","1"
"202","U Iowa - University of Iowa","41.6618875000","-91.5462877000","22","6491.484184914","2"
